,modern,original
11012,The whole world wants her.,All the world desires her.
11013,"They come from the four corners of the earth to kiss this shrine and see this living, breathing saint.","From the four corners of the earth they come To kiss this shrine, this mortal breathing saint."
11014,Princes travel across deserts and the vast wilderness of Arabia to come see the beautiful Portia.,The Hyrcanian deserts and the vasty wilds Of wide Arabia are as thoroughfares now For princes to come view fair Portia.
11015,The wide ocean doesn’t prevent them from coming to see her—they travel across it as if it were a little stream.,"The watery kingdom, whose ambitious head Spits in the face of heaven, is no bar To stop the foreign spirits, but they come As o'er a brook to see fair Portia."
11016,One of these three boxes contains her lovely picture.,One of these three contains her heavenly picture.
11017,Could the lead one contain it?,Is ’t like that lead contains her?
11018,"No, it’d be a sin to think such a low thought.",Twere damnation To think so base a thought.
11019,Lead’s too crass to hold her.,It were too gross To rib her cerecloth in the obscure grave.
11020,"Is she enclosed in silver, which is ten times less valuable than gold?","Or shall I think in silver she’s immured, Being ten times undervalued to tried gold?"
11021,"Oh, what a sinful thought!",O sinful thought!
11022,Nobody ever set a gem like her in a worse setting than gold.,Never so rich a gem Was set in worse than gold.
11023,"They have a coin in England stamped with the figure of an angel, but that’s just engraved on the surface.","They have in England A coin that bears the figure of an angel Stamped in gold, but that’s insculped upon."
11024,"You don’t look well, Antonio.","You look not well, Signor Antonio."
11025,People with too much invested in the world always get hurt.,You have too much respect upon the world.
11026,I’d rather overload my liver with wine than starve my heart by denying myself fun.,And let my liver rather heat with wine Than my heart cool with mortifying groans.
11027,I’ll talk to you more about this some other time.,I’ll tell thee more of this another time.
11028,"I’m a fool.—Let’s go, Lorenzo.—Goodbye for now.","But fish not with this melancholy bait For this fool gudgeon, this opinion.— Come, good Lorenzo.—Fare ye well awhile."
11029,I’ll finish my lecture after dinner.,I’ll end my exhortation after dinner.
11030,Here an angel’s lying in a golden bed.—Give me the key.,Lies all within.—Deliver me the key.
11031,I will choose this one and try my chances.,"Here do I choose, and thrive I as I may!"
11032,Damn it!,"There, take it, Prince."
11033,What’s this?,"O hell, what have we here?"
11034,It’s a skull with a scroll in its empty eye socket.,"A carrion death, within whose empty eye There is a written scroll."
11035,I’ll read it aloud.,I’ll read the writing.
11036,All that glitters is not gold— You’ve often heard that said.,All that glisters is not gold— Often have you heard that told.
11037,Many men have sold their souls Just to view my shiny surface.,Many a man his life hath sold But my outside to behold.
11038,But gilded tombs contain worms.,Gilded tombs do worms enfold.
11039,"If you’d been as wise as you were bold, With an old man’s mature judgment, You wouldn’t have had to read this scroll.","Had you been as wise as bold, Young in limbs, in judgment old, Your answer had not been inscrolled."
11040,"Portia, goodbye to you.","Portia, adieu."
11041,My heart’s too sad for long goodbyes.,I have too grieved a heart To take a tedious leave.
11042,Losers always leave quickly.,Thus losers part.
11043,Good riddance!—Close the curtains and leave.—I hope everyone who looks like him will make the same choice.,"A gentle riddance.—Draw the curtains, go.— Let all of his complexion choose me so."
11044,"I saw Bassanio sail away, and Gratiano went with him.","Why, man, I saw Bassanio under sail."
11045,I’m sure Lorenzo isn’t on their ship.,With him is Gratiano gone along.
11046,That wicked Jew got the duke to listen to his complaints.,And in their ship I am sure Lorenzo is not.
11047,The duke went with him to search Bassanio’s ship.,"The villain Jew with outcries raised the Duke, Who went with him to search Bassanio’s ship."
11048,He got there too late.,He came too late.
11049,The ship was already sailing.,The ship was under sail.
11050,"But once he got there, the duke learned that Lorenzo and his lover Jessica were together in a gondola.",But there the Duke was given to understand That in a gondola were seen together Lorenzo and his amorous Jessica.
11051,"In any case, Antonio assured the duke they weren’t with Bassanio on his ship.","Besides, Antonio certified the Duke They were not with Bassanio in his ship."
11052,I’ve never heard such confused emotions as what that Jew dog was shouting in the streets.,"I never heard a passion so confused, So strange, outrageous, and so variable, As the dog Jew did utter in the streets."
11053,Ran off with a Christian!,"O my daughter, Fled with a Christian!"
11054,Oh my Christian ducats!,O my Christian ducats!
11055,"Justice, find the girl!","Justice, find the girl!"
11056,"She has the stones on her, and the ducats.” I know, all the boys in Venice are following him, yelling, “His stones, his daughter, and his ducats!”","She hath the stones upon her, and the ducats.” Why, all the boys in Venice follow him, Crying, “His stones, his daughter, and his ducats!”"
11057,"I hope Antonio repays his loan on time, or he’ll suffer for this.","Let good Antonio look he keep his day, Or he shall pay for this."
11058,That’s a good point.,"Marry, well remembered."
11059,I spoke with a Frenchman yesterday who said that a Venetian ship loaded with treasure was wrecked in the English Channel.,"I reasoned with a Frenchman yesterday, Who told me, in the narrow seas that part The French and English, there miscarried A vessel of our country richly fraught."
11060,"You should tell Antonio what you hear—but don’t do it suddenly, because it might upset him.","You were best to tell Antonio what you hear— Yet do not suddenly, for it may grieve him."
11061,I saw Bassanio and Antonio say goodbye.,I saw Bassanio and Antonio part.
11062,Bassanio told him he’d try to hurry back.,Bassanio told him he would make some speed Of his return.
11063,"As for the Jew’s contract, don’t let it be a factor in your plans.","And for the Jew’s bond which he hath of me, Let it not enter in your mind of love."
11064,Then he shook Bassanio’s hand affectionately—and they separated.,And so they parted.
11065,I think he only loves life because of Bassanio.,I think he only loves the world for him.
11066,Let’s go find him and cheer him up.,"I pray thee, let us go and find him out And quicken his embracèd heaviness With some delight or other."
11067,"Yes, let’s do that.",Do we so.
11068,"Hurry, hurry, close the curtain quick.",Draw the curtain straight.
11069,"The prince of Arragon has taken his oath, and he’s coming to make his choice now.",The Prince of Arragon hath ta'en his oath And comes to his election presently.
11070,"Look, here are the boxes, prince.","Behold, there stand the caskets, noble Prince."
11071,"If you choose the one that contains my picture, we’ll be married right away.","If you choose that wherein I am contained, Straight shall our nuptial rites be solemnized."
11072,"But if you fail, you have to leave immediately.","But if you fail, without more speech, my lord, You must be gone from hence immediately."
11073,Everyone who comes to gamble on winning me has to swear to these three rules.,To these injunctions every one doth swear That comes to hazard for my worthless self.
11074,"Okay, I’m ready.",And so have I addressed me.
11075,I hope luck will give me what my heart hopes for!,Fortune now To my heart’s hope!
11076,"Gold, silver, and common lead.","Gold, silver, and base lead."
11077,He who chooses me must give and risk all he has.” You’d have to be more attractive for me to give or risk anything for you.,Who chooseth me must give and hazard all he hath.” You shall look fairer ere I give or hazard.
11078,What does the golden box say?,What says the golden chest?
11079,"Hmm, let me see:","Ha, let me see."
11080,"We seemed to have two separate bodies, but we had one heart.","So, with two seeming bodies but one heart, Two of the first, like coats in heraldry, Due but to one and crownèd with one crest."
11081,Do you want to destroy our old friendship by joining these men to insult your poor friend?,And will you rent our ancient love asunder To join with men in scorning your poor friend?
11082,"It’s not friendly, and it’s not ladylike.","It is not friendly, ’tis not maidenly."
11083,"All women would be angry with you for doing it, even though I’m the only one who’s hurt by it.","Our sex, as well as I, may chide you for it, Though I alone do feel the injury."
11084,I’m not insulting you.,I scorn you not.
11085,It sounds more like you’re insulting me.,It seems that you scorn me.
11086,"Didn’t you send Lysander, as an insult, to follow me around praising my eyes and my face?","Have you not set Lysander, as in scorn, To follow me and praise my eyes and face?"
11087,"Haven’t you made your other love, Demetrius—who kicked me with his foot not long ago—call me a goddess and a divine, rare, precious, heavenly creature?","And made your other love, Demetrius— Who even but now did spurn me with his foot— To call me goddess, nymph, divine, and rare, Precious, celestial?"
11088,Why does he talk like that to a girl he can’t stand?,Wherefore speaks he this To her he hates?
11089,"And why does Lysander deny that he loves you, when he loves you so deeply?","And wherefore doth Lysander Deny your love, so rich within his soul, And tender me, forsooth, affection, But by your setting on, by your consent?"
11090,Why does it matter that I’m not as lucky or lovable as you are and that the love I feel is unrequited?,"What though I be not so in grace as you— So hung upon with love, so fortunate— But miserable most, to love unloved?"
11091,"You should pity me for that reason, not hate me.",This you should pity rather than despise.
11092,I don’t know what you’re talking about.,I understand not what you mean by this.
11093,"Oh, fine.","Ay, do."
11094,"All right, go ahead, keep up your little game, pretend to be sympathetic, but then nudge each other and wink and make faces at me when I turn my back.","Persever, counterfeit sad looks, Make mouths upon me when I turn my back, Wink each at other, hold the sweet jest up— This sport, well carried, shall be chronicled."
11095,"If you had any sense of pity, or manners, you wouldn’t pretend to fight over me like this.","If you have any pity, grace, or manners, You would not make me such an argument."
11096,But goodbye.,But fare ye well.
11097,"It’s partly my own fault, since I followed you here.","Tis partly my own fault, Which death or absence soon shall remedy."
11098,"Stay, lovely Helena.","Stay, gentle Helena."
11099,Listen to my excuse.,Hear my excuse.
11100,"My love, my life, my soul, beautiful Helena!","My love, my life, my soul, fair Helena!"
11101,That’s a good one.,"Oh, excellent!"
11102,You can’t force me any more than Hermia can beg me.,Thou canst compel no more than she entreat.
11103,"Your threats are no stronger than her whining.—Helena, I love you.","Thy threats have no more strength than her weak prayers.— Helen, I love thee."
11104,I swear I do.,"By my life, I do."
11105,"I’ll give my life for you, just to prove this guy wrong when he says I don’t love you.",I swear by that which I will lose for thee To prove him false that says I love thee not.
11106,I say that I love you more than he does.,I say I love thee more than he can do.
11107,"If that’s what you say, go fight a duel with me and prove it.","If thou say so, withdraw and prove it too."
11108,"Lysander, where are you going with all this?","Lysander, whereto tends all this?"
11109,Why have you gotten so rude?,Why are you grown so rude?
11110,Your darling?,Thy love?
11111,"Get out, you dark-skinned gypsy!","Out, tawny Tartar, out!"
11112,"Get out, you horrible poison.","Out, loathèd medicine!"
11113,Get out!,"O hated potion, hence!"
11114,Are you joking?,Do you not jest?
11115,"Of course he is, and so are you.","Yes, sooth, and so do you."
11116,"Demetrius, I’m ready to fight you as promised.","Demetrius, I will keep my word with thee."
11117,I wish we had a signed legal contract.,"I would I had your bond, for I perceive A weak bond holds you."
11118,I don’t trust you.,I’ll not trust your word.
11119,"Sure, I hate her, but I wouldn’t hurt her.","Although I hate her, I’ll not harm her so."
11120,"I certainly did, and I never wanted to see you again.","Ay, by my life, And never did desire to see thee more."
11121,So stop hoping and wondering what I mean.,"Therefore be out of hope, of question, of doubt."
11122,I’ve spelled it out for you clearly.,"Be certain, nothing truer."
11123,"Oh, no!",O me!
11124,"Oh, that’s very nice!","Fine, i' faith!"
11125,You ought to be ashamed of yourself!,"Have you no modesty, no maiden shame, No touch of bashfulness?"
11126,Puppet”?,Puppet”?
11127,"Why “puppet”?—Oh, I see where this is going.","Why so?—Ay, that way goes the game."
11128,"So how short am I, you painted barber pole?","How low am I, thou painted maypole?"
11129,Tell me.,Speak.
11130,How short am I?,How low am I?
11131,"Good Hermia, please don’t act so bitter toward me.","Good Hermia, do not be so bitter with me."
11132,He followed you.,He followed you.
11133,And I followed him because I loved him.,For love I followed him.
11134,"But he told me to get lost and threatened to hit me, kick me—even kill me.","But he hath chid me hence and threatened me To strike me, spurn me—nay, to kill me too."
11135,Please let me go.,Let me go.
11136,You see how naïve and foolish I’ve been.,You see how simple and how fond I am.
11137,"Well, get out of here then!","Why, get you gone!"
11138,What’s keeping you?,Who is ’t that hinders you?
11139,"My stupid heart, which I’m leaving behind here.","A foolish heart, that I leave here behind."
11140,"What, you’re leaving it with Lysander?","What, with Lysander?"
11141,"No, with Demetrius.",With Demetrius.
11142,Don’t be afraid.,Be not afraid.
11143,"She can’t hurt you, Helena.","She shall not harm thee, Helena."
11144,She was a hellcat in school.,She was a vixen when she went to school.
11145,"And she’s fierce, even though she’s little.","And though she be but little, she is fierce."
11146,Little” again?,Little” again?
11147,Nothing but “little” and “short”!— Why are you letting her insult me like this?,Nothing but “low” and “little”!— Why will you suffer her to flout me thus?
11148,Let me at her!.,Let me come to her.
11149,"How are you, my love?—Demetrius and Egeus, come with us.","What cheer, my love?— Demetrius and Egeus, go along."
11150,"I want you to do some things for our wedding, and I also want to discuss something that concerns you both.",I must employ you in some business Against our nuptial and confer with you Of something nearly that concerns yourselves.
11151,"We’re following you not only because it is our duty, but also because we want to.",With duty and desire we follow you.
11152,"What’s going on, my love?","How now, my love?"
11153,Why are you so pale?,Why is your cheek so pale?
11154,Why have your rosy cheeks faded so quickly?,How chance the roses there do fade so fast?
11155,"Probably because my cheeks' roses needed rain, which I could easily give them with all the tears in my eyes.","Belike for want of rain, which I could well Beteem them from the tempest of my eyes."
11156,"Oh, honey!",Ay me!
11157,"Listen, in books they say that true love always faces obstacles.","For aught that I could ever read, Could ever hear by tale or history, The course of true love never did run smooth."
11158,Either the lovers have different social standings—,But either it was different in blood—
11159,Leave Hermia alone.,Let her alone.
11160,Don’t talk about Helena.,Speak not of Helena.
11161,Don’t take Helena’s side.,Take not her part.
11162,"If you continue treating Hermia so badly, you’ll pay for it.","For if thou dost intend Never so little show of love to her, Thou shalt aby it."
11163,Hermia’s not holding onto me anymore.,Now she holds me not.
11164,"Follow me if you’re brave enough, and we’ll fight over Helena.","Now follow, if thou darest, to try whose right, Of thine or mine, is most in Helena."
11165,Follow”?,Follow”?
11166,"No, I’ll walk right next to you, side by side.","Nay, I’ll go with thee, cheek by jowl."
11167,All this fighting is because of you.,"You, mistress, all this coil is long of you."
11168,Stay where you are.,"Nay, go not back."
11169,I don’t know what to say.,I am amazed and know not what to say.
11170,"Believe me, King of Illusions, I made a mistake.","Believe me, King of Shadows, I mistook."
11171,Didn’t you tell me that I’d be able to recognize the man by the Athenian clothes he was wearing?,Did not you tell me I should know the man By the Athenian garment he had on?
11172,So far I’ve done exactly what I was supposed to do—I put the love potion on an Athenian’s eyes.,"And so far blameless proves my enterprise, That I have 'nointed an Athenian’s eyes."
11173,"And so far I’m pleased with the way things have turned out, since I find all of this commotion very entertaining.","And so far am I glad it so did sort, As this their jangling I esteem a sport."
11174,"As you can see, these lovers are looking for a place to fight.",Thou seest these lovers seek a place to fight.
11175,"Hurry up, Robin, and make the night dark and cloudy.","Hie therefore, Robin, overcast the night."
11176,"Cover the sky with a low-hanging fog, as dark as hell, and get these overeager rivals so completely lost in the woods that they can’t run into each other.","The starry welkin cover thou anon With drooping fog as black as Acheron, And lead these testy rivals so astray As one come not within another’s way."
11177,"We’ve got to act fast, my lord of the fairies.","My fairy lord, this must be done with haste."
11178,I like the morning.,But we are spirits of another sort.
11179,"I often wander around in the woods like a forest ranger until the sun rises in the fiery red sky over the ocean, turning the salty green water to gold.","I with the morning’s love have oft made sport, And like a forester the groves may tread Even till the eastern gate, all fiery red, Opening on Neptune with fair blessèd beams, Turns into yellow gold his salt green streams."
11180,But you should hurry anyway.,"But notwithstanding, haste."
11181,Don’t delay.,Make no delay.
11182,We still have time to get all of this done before daybreak.,We may effect this business yet ere day.
11183,"Up and down, up and down, I will lead them up and down.","Up and down, up and down,  I will lead them up and down."
11184,The people fear me in the country and the town.,I am feared in field and town.
11185,"Goblin, lead them up and down.","Goblin, lead them up and down."
11186,Here comes one of them now.,Here comes one.
11187,"Where are you, Demetrius, you arrogant bastard?","Where art thou, proud Demetrius?"
11188,Say something.,Speak thou now.
11189,"Lysander, say something!","Lysander, speak again!"
11190,"You coward, did you run away from me?","Thou runaway, thou coward, art thou fled?"
11191,Say something!,Speak!
11192,Are you behind some bush?,In some bush?
11193,Where are you hiding?,Where dost thou hide thy head?
11194,Are you there?,"Yea, art thou there?"
11195,"He’s walking ahead of me, and he keeps daring me to follow him.",He goes before me and still dares me on.
11196,"When I reach the place he’s calling from, he disappears.","When I come where he calls, then he is gone."
11197,This villain is much quicker than I am.,"The villain is much lighter-heeled than I. I followed fast, but faster he did fly, That fallen am I in dark uneven way,"
11198,I’ll rest here.,And here will rest me.
11199,Where are you now?,Where art thou now?
11200,"No, you’re just taunting me.","Nay, then, thou mock’st me."
11201,You’ll pay for this if I ever see you face-to-face in the daylight.,Thou shalt buy this dear If ever I thy face by daylight see.
11202,Go wherever you want.,Now go thy way.
11203,"Oh, what a long, tedious, exhausting night!","O weary night, O long and tedious night, Abate thy hours."
11204,Only three so far?,Yet but three?
11205,We’re still waiting for one more.,Come one more.
11206,Two of both kinds makes four.,Two of both kinds make up four.
11207,"Ah, here she comes, angry and sad.","Here she comes, cursed and sad."
11208,Cupid is a bad boy for making poor women go crazy like this.,Cupid is a knavish lad  Thus to make poor females mad.
11209,I’ll sleep here until morning.,Here will I rest me till the break of day.
11210,"If they do fight, I hope Lysander is safe!",Heavens shield Lysander if they mean a fray!
11211,Sleep well there on the ground.,On the ground  Sleep sound.
11212,Where’s Peaseblossom?,Where’s Peaseblossom?
11213,Here.,Ready.
11214,"Scratch my head, Peaseblossom.","Scratch my head, Peaseblossom."
11215,Where’s Monsieur Cobweb?,Where’s Monsieur Cobweb?
11216,Here.,Ready.
11217,"Don’t tire yourself out, monsieur.","Do not fret yourself too much in the action, monsieur."
11218,"Oh, and monsieur, be careful not to break the honey-sac.","And good monsieur, have a care the honey bag break not."
11219,"I’d hate to see you drowned in honey, sir.","I would be loath to have you overflown with a honey bag, signor."
11220,Where’s Monsieur Mustardseed?,Where’s Monsieur Mustardseed?
11221,Here.,Ready.
11222,"Give me your first, Mr. Mustardseed.","Give me your neaf, Monsieur Mustardseed."
11223,"Please, stop bowing, good sir.","Pray you, leave your courtesy, good monsieur."
11224,What would you like me to do?,What’s your will?
11225,"Nothing, good sir, except to help Sir Cobweb scratch my head.","Nothing, good monsieur, but to help Cavalery Cobweb to scratch."
11226,"I should go to the barber’s, monsieur, because I think I’m getting really hairy around the face.","I must to the barber’s, monsieur, for methinks I am marvelous hairy about the face."
11227,"And I’m such a sensitive ass that if my hair even tickles me a little, I need to scratch.","And I am such a tender ass, if my hair do but tickle me, I must scratch."
11228,"Would you like to hear some music, my sweet love?","What, wilt thou hear some music, my sweet love?"
11229,I have a pretty good ear for music.,I have a reasonable good ear in music.
11230,Let’s hear someone play the triangle and the sticks.,Let’s have the tongs and the bones.
11231,"Or tell me, my sweet love, what you’d like to eat.","Or say, sweet love, what thou desirest to eat."
11232,"Actually, I’d like a few pounds of grass.","Truly, a peck of provender."
11233,I’d like to munch on some good dry oats.,I could munch your good dry oats.
11234,Or maybe I’ve got a hankering for a bundle of hay.,Methinks I have a great desire to a bottle of hay.
11235,"There’s nothing like good hay, really sweet hay.","Good hay, sweet hay, hath no fellow."
11236,I have an adventurous fairy who’ll go seek out the squirrel’s secret stash and get you some fresh nuts.,I have a venturous fairy that shall seek The squirrel’s hoard and fetch thee new nuts.
11237,I’d rather have a handful or two of dried peas.,I had rather have a handful or two of dried peas.
11238,But please don’t let any of your people wake me up.,"But, I pray you, let none of your people stir me."
11239,I really want to sleep now.,I have an exposition of sleep come upon me.
11240,"Go to sleep, and I will wrap my arms around you.","Sleep thou, and I will wind thee in my arms."
11241,"Oh, how I love you!","Oh, how I love thee!"
11242,I’m so crazy about you!,How I dote on thee!
11243,"Welcome, good Robin.","Welcome, good Robin."
11244,Do you see this sweet sight?,Seest thou this sweet sight?
11245,Now I’m starting to pity Titania for being so infatuated.,Her dotage now I do begin to pity.
11246,"I ran into her recently at the edge of the forest, looking for sweet presents for this hateful idiot, and I scolded her and argued with her.","For, meeting her of late behind the wood, Seeking sweet favors from this hateful fool, I did upbraid her and fall out with her."
11247,"She had put a wreath of fresh, fragrant flowers around his hairy forehead, and the drops of dew that lay in the center of the flowers made the flowers look like they were crying with shame to be decorating the head of that ugly jackass.","For she his hairy temples then had rounded With a coronet of fresh and fragrant flowers, And that same dew, which sometime on the buds Was wont to swell like round and orient pearls, Stood now within the pretty flowerets' eyes Like tears that did their own disgrace bewail."
11248,"And now that I have the boy, I’ll undo the spell that makes her vision so disgustingly wrong.","And now I have the boy, I will undo This hateful imperfection of her eyes."
11249,"And, gentle Puck, take this transformed ass’s head off of the head of that Athenian man, so that when he wakes up at the same time as the rest of them do, they can all go back to Athens.","And, gentle Puck, take this transformèd scalp From off the head of this Athenian swain, That, he awaking when the other do, May all to Athens back again repair And think no more of this night’s accidents But as the fierce vexation of a dream."
11250,But first I’ll release the fairy queen from the spell.,But first I will release the fairy queen.
11251,"Now, Titania, wake up, my sweet queen.","Now, my Titania, wake you, my sweet queen."
11252,"There’s your boyfriend, sleeping right over there.",There lies your love.
11253,How did this happen?,How came these things to pass?
11254,"Oh, I hate looking at his face now!","Oh, how mine eyes do loathe his visage now!"
11255,"Be quiet for a while.—Robin, take off his donkey head.—Titania, get the fairies to play some music, and make these five people sleep more soundly than humans have ever slept before.","Silence awhile.—Robin, take off this head.— Titania, music call, and strike more dead Than common sleep of all these five the sense."
11256,Music!,"Music, ho!"
11257,Play the kind of music that puts people to sleep.,Music such as charmeth sleep!
11258,"Play the music.—Take my hands, my queen, and we’ll lull these people to sleep with our soft dancing.","Sound, music!—Come, my queen, take hands with me, And rock the ground whereon these sleepers be."
11259,Being too old to marry someone young.,Too old to be engaged to young.
11260,"Or else their guardians and advisors said no— What hell, to have your love life determined by someone else!","Or else it stood upon the choice of friends— O hell, to choose love by another’s eyes!"
11261,That’s how intense things like love are quickly destroyed.,So quick bright things come to confusion.
11262,"If true lovers are always thwarted, then it must be a rule of fate.","If then true lovers have been ever crossed, It stands as an edict in destiny."
11263,That’s the right attitude.,A good persuasion.
11264,"So, listen, Hermia.","Therefore, hear me, Hermia."
11265,"I have an aunt who is a widow, who’s very rich and doesn’t have any children.","I have a widow aunt, a dowager Of great revenue, and she hath no child."
11266,"She lives about twenty miles from Athens, and she thinks of me as a son.","From Athens is her house remote seven leagues, And she respects me as her only son."
11267,"I could marry you there, gentle Hermia, where the strict laws of Athens can’t touch us.","There, gentle Hermia, may I marry thee."
11268,So here’s the plan.,And to that place the sharp Athenian law Cannot pursue us.
11269,"Listen, Fairy King.","Fairy King, attend, and mark."
11270,I can hear the lark singing.,I do hear the morning lark.
11271,Morning’s here.,"Then, my queen, in silence sad, Trip we after the night’s shade."
11272,"While we’re walking, you can tell me how I ended up sleeping on the ground with these humans last night.","Come, my lord, and in our flight Tell me how it came this night That I sleeping here was found With these mortals on the ground."
11273,One of you go find the forest ranger.,"Go, one of you, find out the forester."
11274,Unleash the dogs in the western valley.,Uncouple in the western valley.
11275,Let them go.,Let them go.
11276,Now go find the forest ranger.,"Dispatch, I say, and find the forester."
11277,"My beautiful queen, we’ll go up the mountain and listen to the hounds as their barking echoes in the cliffs and sounds like music.","We will, fair queen, up to the mountain’s top, And mark the musical confusion Of hounds and echo in conjunction."
11278,"I was with the heroes Hercules and Cadmus once, when their Spartan hunting dogs cornered a bear.","I was with Hercules and Cadmus once, When in a wood of Crete they bayed the bear With hounds of Sparta."
11279,"The forests, the skies, the mountains, everything around us seemed to echo the barks of the hounds.","The skies, the fountains, every region near Seemed all one mutual cry."
11280,"I’d never heard such raucous music, such pleasant thunder.","I never heard So musical a discord, such sweet thunder."
11281,I don’t understand why they’re all here together.,I wonder of their being here together.
11282,"But tell me, Egeus.","But speak, Egeus."
11283,Isn’t today the day when Hermia has to tell us her decision about whether she’ll marry Demetrius?,Is not this the day That Hermia should give answer of her choice?
11284,"It is, my lord.","It is, my lord."
11285,Go tell the hunters to blow their horns and wake them up.,"Go, bid the huntsmen wake them with their horns."
11286,"Good morning, my friends.","Good morrow, friends."
11287,Valentine’s Day is over.,Saint Valentine is past.
11288,Are you lovebirds only starting to pair up now?,Begin these woodbirds but to couple now?
11289,"Forgive us, my lord.","Pardon, my lord."
11290,"Please, all of you, stand up.","I pray you all, stand up."
11291,"My lord, what I say may be a little confused, since I’m half asleep and half awake.","My lord, I shall reply amazèdly, Half sleep, half waking."
11292,"I swear, at the moment I really couldn’t tell you how I ended up here.","But as yet, I swear, I cannot truly say how I came here."
11293,"But I think—I want to tell you the truth, and now that I think about it, I think this is true—I came here with Hermia.","But as I think—for truly would I speak, And now do I bethink me, so it is— I came with Hermia hither."
11294,"Now the only person I love, and believe in, and want to look at, is Helena.","And all the faith, the virtue of my heart, The object and the pleasure of mine eye, Is only Helena."
11295,I was engaged to her before I ever met Hermia.,"To her, my lord, Was I betrothed ere I saw Hermia."
11296,You pretty lovers are lucky you met me here.,"Fair lovers, you are fortunately met."
11297,"We’ll talk more about this later.—Egeus, I’m overriding your wishes.","Of this discourse we more will hear anon.— Egeus, I will overbear your will."
11298,Come with us to Athens.,Away with us to Athens.
11299,We three couples will celebrate with a sumptuous feast.,"Three and three, We’ll hold a feast in great solemnity."
11300,Are you sure we’re awake?,Are you sure That we are awake?
11301,"It seems to me like we’re still sleeping, still dreaming.","It seems to me That yet we sleep, we dream."
11302,And he told us to follow him to the temple.,And he did bid us follow to the temple.
11303,"Well, then, we’re awake.","Why then, we are awake."
11304,I’ll call it “Bottom’s Dream” because it’s so deep that it has no bottom.,It shall be called “Bottom’s Dream” because it hath no bottom.
11305,And I’ll sing it for the duke in the intermission of a play.,And I will sing it in the latter end of a play before the duke.
11306,"Or maybe, to make it even more lovely, I’ll sing it when the heroine dies.","Peradventure, to make it the more gracious, I shall sing it at her death."
11307,Have you sent anyone to Bottom’s house?,Have you sent to Bottom’s house?
11308,Has he come home yet?,Is he come home yet?
11309,No one’s heard from him.,He cannot be heard of.
11310,I’m sure he’s been kidnapped.,Out of doubt he is transported.
11311,"If he doesn’t show up, the play is ruined.","If he come not, then the play is marred."
11312,It won’t go on.,It goes not forward.
11313,Will it?,Doth it?
11314,"No, it would be impossible.",It is not possible.
11315,He’s quite simply the smartest working-man in Athens.,"No, he hath simply the best wit of any handicraft man in Athens."
11316,"Yes, and the best looking too.","Yea, and the best person too."
11317,And his voice is the paramour of sweetness.,And he is a very paramour for a sweet voice.
11318,You mean “paragon.” A  The duke’s leaving the temple.,"You must say “paragon.” A “paramour” is, God bless us, a thing of naught."
11319,Two or three more lords and ladies have been married too.,"Masters, the duke is coming from the temple, and there is two or three lords and ladies more married."
11320,"If we’d been able to put on our play, we would have had it made.","If our sport had gone forward, we had all been made men."
11321,"Oh that great, funny guy, Bottom!",O sweet bully Bottom!
11322,He would have gotten a pension of six pence a day for his whole life.,Thus hath he lost sixpence a day during his life.
11323,Six pence a day would’ve been forced on him.,He could not have ’scaped sixpence a day.
11324,I’ll be damned if the duke wouldn’t have given him six pence a day for playing Pyramus.,"An the duke had not given him sixpence a day for playing Pyramus, I’ll be hanged."
11325,And he would have deserved it too.,He would have deserved it.
11326,Where are my good fellows?,Where are these hearts?
11327,Bottom!,Bottom!
11328,"Oh, how wonderful to see you!",O most courageous day!
11329,"Oh, what a relief!",O most happy hour!
11330,I’ll tell you everything exactly as it happened.,"I will tell you everything, right as it fell out."
11331,"Tell us, Bottom.","Let us hear, sweet Bottom."
11332,"No, you won’t get a word out of me.",Not a word of me.
11333,All I’ll tell you is that the duke has had dinner already.,All that I will tell you is that the duke hath dined.
11334,Now it’s time to get your costumes together.,"Get your apparel together, good strings to your beards, new ribbons to your pumps."
11335,Meet me at the palace as soon as possible.,Meet presently at the palace.
11336,Look over your lines again.,Every man look o'er his part.
11337,And no one eat any onions or garlic.,"And most dear actors, eat no onions nor garlic, for we are to utter sweet breath."
11338,"If we have sweet-smelling breath, I’m sure they’ll say “it’s a sweet play.” Now no more talking.","And I do not doubt but to hear them say, “It is a sweet comedy.” No more words."
11339,"Get busy, go!","Away, go away!"
11340,"These lovers are saying some strange things, Theseus.","Tis strange, my Theseus, that these lovers speak of."
11341,I’ll never believe any of these old legends or fairy tales.,I never may believe These antique fables nor these fairy toys.
11342,"Lunatics, lovers, and poets all are ruled by their overactive imaginations.","The lunatic, the lover, and the poet Are of imagination all compact."
11343,"Their story is bizarre and astounding, but it’s solid and consistent.","But all the story of the night told over, And all their minds transfigured so together, More witnesseth than fancy’s images And grows to something of great constancy, But, howsoever, strange and admirable."
11344,"Here come the lovers, laughing happily.—I wish you joy, my friends!","Here come the lovers, full of joy and mirth.— Joy, gentle friends!"
11345,"Now, what kind of entertainment do we have to fill up the long three hours between dinner and bedtime?","Come now, what masques, what dances shall we have To wear away this long age of three hours Between our after-supper and bedtime?"
11346,Where is our entertainment director?,Where is our usual manager of mirth?
11347,What performances have been prepared?,What revels are in hand?
11348,Let me see Philostrate.,Call Philostrate.
11349,"Here I am, Theseus.","Here, mighty Theseus."
11350,"Which plays, what music?","What masque, what music?"
